id,title,cover,catalog_number,release_date,description,tracklist,genre,for_fans_of,bandcamp_url,bandcamp_id,internal,active,release_formats
20,My Personal Holiday,hmrl_020.jpg,HMRL020,2010-10-17,,,"Postpunk, indie rock, alternative rock","Gang of Four, Fugazi, !!!, LCD Soundsystem, Gossip",https://moonleerecords.bandcamp.com/album/my-personal-holiday,1222509364,1,1,"cd,lp,digital"
21,We Are Storms,hmrl_021.jpg,HMRL021,2011-09-12,,,"Postrock, alternative, instrumental rock","Mogwai, Red Sparowes, Explosions In The Sky",https://moonleerecords.bandcamp.com/album/we-are-storms,3339705540,1,1,"lp,digital"
22,Our World Died Yesterday,hmrl_022.jpg,HMRL022,2011-05-03,,,"Noise-rock, math-core, alternative","Sonic Youth, Glenn Branca, Part Chimp, Portraits of Past",https://moonleerecords.bandcamp.com/album/our-world-died-yesterday,4081774158,1,1,"lp_cd,digital"
23,Tango revolucioner,hmrl_023.jpg,HMRL023,2011-04-20,,,"Punkrock, indie, post-punk","Hüsker Dü,Dag Nasty, Rites of Spring, Wipers",https://moonleerecords.bandcamp.com/album/tango-revolucioner,525826593,1,1,"cd,lp,digital"
24,Igraj slobodno!,hmrl_024.jpg,HMRL024,2012-01-10,,,"Post punk, alternative, indie",Bernays Propaganda,https://moonleerecords.bandcamp.com/,2026464248,1,1,digital
25,Bruto Slavo / VBK,hmrl_025.jpg,HMRL025,2012-05-08,,,"Punk rock, melodic hardcore","Propagandhi, Descendents, Rise Against, SNFU, Satanic Surfers",https://moonleerecords.bandcamp.com/album/bruto-slavo-vbk,1712244009,1,1,"cd,lp,digital"
26,split,hmrl_026.jpg,HMRL026,2012-04-20,,,"Punkrock, hardcore","Against Me, Propagandhi, Hot Water Music",https://moonleerecords.bandcamp.com/album/split-10,3375760949,1,1,"10inch,digital"
27,Siromašni i bogati,hmrl_027.jpg,HMRL027,2012-09-08,,,"Punkrock, indie, post-punk","Hüsker Dü,Dag Nasty, Rites of Spring, Wipers",https://moonleerecords.bandcamp.com/album/siroma-ni-i-bogati,3654878675,1,1,"cd,lp,digital"
28,Dobrodošli na okean,hmrl_028.jpg,HMRL028,2012-11-29,,1. Devojke idu u Minhen<br>2. Biću bolji<br>3. Šteta<br>4. U pravom trenutku<br>5. Dostupni i laki<br>6. Lica<br>7. Oktobarski salon<br>8. Laka zabava<br>9. Pripazi na ljude,"Alternative rock, post-punk, garage, rock'n'roll, stoner rock","Nirvana, Sonic Youth, Fugazi, Šarlo Akrobata, Mudhoney",https://moonleerecords.bandcamp.com/album/dobrodo-li-na-okean,823079048,1,1,"cd,lp,digital"
29,With High Regards,hmrl_029.jpg,HMRL029,2013-02-12,,,"Post-punk, noise rock","Analena, Sonic Youth, Jawbox, Girls Against Boys",https://moonleerecords.bandcamp.com/album/with-high-regards-2,2893358544,1,1,"lp,digital"
30,Zabraneta planeta,hmrl_030.jpg,HMRL030,2013-02-26,,,"Postpunk, indie rock, alternative rock","Gang of Four, Fugazi, The Ex, Joy Division, Gossip",https://moonleerecords.bandcamp.com/album/zabraneta-planeta,2673439980,1,1,"cd,lp,digital"
31,First Step,hmrl_031.jpg,HMRL031,2013-03-14,,,"Alternative rock, indie, electro, jazz, post-punk","Deerhof, Stereolab, Bilk, Milemarker, Trans Am",https://moonleerecords.bandcamp.com/album/first-step,4107328416,1,1,digital_merch
32,Golden Men,hmrl_032.jpg,HMRL032,2013-04-17,,,"Noise-rock, math-core, alternative","Sonic Youth, Rapemen, Part Chimp",https://moonleerecords.bandcamp.com/album/golden-men,2285826727,1,1,"cd,lp,digital"
33,Banana Split,hmrl_033.jpg,HMRL033,2013-12-17,,,"Indie, post-punk, synthpop, IDM, electro","Animal Collective, Bilk, Deerhoof, the Album Leaf, Dan Deacon, Caribou",https://moonleerecords.bandcamp.com/album/banana-split,543546799,1,1,"lp,digital"
34,Povijest bolesti,hmrl_034.jpg,HMRL034,2014-09-25,,,"Punk rock, melodic hardcore","Propagandhi, Descendents, Rise Against, SNFU, Satanic Surfers",https://moonleerecords.bandcamp.com/album/povijest-bolesti,225828418,1,1,"cd,lp,digital"
35,Sami maži i ženi,hmrl_035.jpg,HMRL035,2014-09-08,,,"Punkrock, indie, post-punk","Hüsker Dü,Dag Nasty, Rites of Spring, Leatherface",https://moonleerecords.bandcamp.com/album/sami-ma-i-i-eni,1407591270,1,1,"cd,lp,digital"
36,Praznina,hmrl_036.jpg,HMRL036,2014-12-16,,,"Hardcore, sludge, stoner","His Hero is Gone, Catharsis, Converge, Black Cobra",https://moonleerecords.bandcamp.com/album/praznina,38755903,1,1,"cd,10inch,digital"
37,Kvadrat,hmrl_037.jpg,HMRL037,2015-01-28,,,"Post-punk, noise-rock, indie-rock, alternative","Repetitor, Fugazi, Shellac, Nikki Louder",https://moonleerecords.bandcamp.com/album/kvadrat,1067875542,1,1,"cd,lp,digital"
38,Trout,hmrl_038.jpg,HMRL038,2015-12-15,,,"Noise-rock, math-core, alternative","Sonic Youth, Unsane, Rapemen, Part Chimp",https://moonleerecords.bandcamp.com/album/trout,3727978414,1,1,"cd,lp,digital"
39,Politika,hmrl_039.jpg,HMRL039,2016-03-14,"<p>The politically engaged Macedonian post-punk band Bernays Propaganda, one of the most hard working live acts and prolific alternative forces in the region, return with the new album “Politika”. Their fourth album in a row indicates a dramatic change in their sound that will surely surprise fans, both old and new!</p>","1. Politika<br>2. Armija<br>3. I dvete<br>4. Laži me, laži me<br>5. Jalova<br>6. Povekje<br>7. Ne sum vekje ubava<br>8. Sakav da se zaljubav<br>9. Politika II (kje dojde vreme)","Indie-pop, indie-rock, indietronica, post-punk","The Notwist, New Order, Handsome Furs",https://moonleerecords.bandcamp.com/album/politika,459661104,1,1,"cd,digital"
40,Das Lied der Maschinen,hmrl_040.jpg,HMRL040,2016-02-04,,,Alternative rock,"Queens of the Stone Age, The Dead Weather, Bosnian Rainbows",https://moonleerecords.bandcamp.com/album/das-lied-der-maschinen,683087278,1,1,"cd,lp,digital"
41,Better Live Than Dead,hmrl_041.jpg,HMRL041,2016-06-23,,1. Tako Mladi<br>2. Young Prisoners<br>3. Am I?<br>4. Noćne Šetnje<br>5. Pasto Nudo,"EBM, industrial, electro rock","Laibach, Front 242",https://moonleerecords.bandcamp.com/album/better-live-than-dead,3036726726,1,1,digital
42,Godina majmuna / Majmun godine,hmrl_042.jpg,HMRL042,2016-10-13,,,"Punk rock, punk, melodic hardcore","Rise Against, Descendents, Atheist Rap, Pasi",https://moonleerecords.bandcamp.com/album/godina-majmuna-majmun-godine,470179961,1,1,"cd,lp,digital"
43,Gde ćeš,hmrl_043.jpg,HMRL043,2016-10-18,,,"Post-punk, alternative rock, garage rock, stoner rock","Nirvana, Sonic Youth, Metz, Girl Band, Stooges",https://moonleerecords.bandcamp.com/album/gde-e,769324680,1,1,"cd,lp,digital"
