artist,url_type,url
15,lastfm,http://www.last.fm/music/IAMDISEASE
15,bandcamp,https://iamdisease.bandcamp.com
15,discogs,https://www.discogs.com/artist/2064745-Iamdisease
15,deezer,http://www.deezer.com/artist/7820720
15,google_music,https://play.google.com/store/music/artist/Iamdisease?id=A73uddvau7ezrn2chtjl2wmncqe&hl=en
15,spotify,https://open.spotify.com/artist/0BGqIn6FpZ5BjXdJsUfCZW
16,facebook,https://www.facebook.com/IN-SANE-SLO-57132636062/?fref=ts
16,lastfm,http://www.last.fm/music/In-Sane
16,discogs,https://www.discogs.com/artist/1645934-In-Sane-2
16,deezer,http://www.deezer.com/artist/470818
16,google_music,https://play.google.com/store/music/artist/In_Sane?id=Apwoxzhwt7ok5dulrpl2ic7om5i&hl=en
16,spotify,https://open.spotify.com/artist/6icV7IJQOUWypA21WB4Bw4
17,facebook,https://www.facebook.com/kleemarkleemar
17,lastfm,http://www.last.fm/music/Kleemar
17,bandcamp,https://kleemar.bandcamp.com
17,discogs,https://www.discogs.com/artist/244432-Kleemar
17,deezer,http://www.deezer.com/artist/63859
17,google_music,https://play.google.com/store/music/artist/Kleemar?id=Ay3a3ei77zvwj2o5auczo6wxez4&hl=en
17,spotify,https://open.spotify.com/artist/6Sd8EoqDeYrBtmtnvrDtZy
18,lastfm,http://www.last.fm/music/Lunar
18,discogs,https://www.discogs.com/artist/182382-Lunar-4
18,deezer,http://www.deezer.com/artist/296680
18,google_music,https://play.google.com/store/music/artist/Lunar?id=Adztjwwq5fofpw3ai7drfxnmzya&hl=en
18,spotify,https://open.spotify.com/artist/5tYMHrMt4En63MJt70Hcbi
19,facebook,https://www.facebook.com/masinkoZG/
19,lastfm,http://www.last.fm/music/Ma_inko
19,bandcamp,http://masinko.net/
19,discogs,https://www.discogs.com/artist/2145265-Ma_inko
19,deezer,http://www.deezer.com/artist/11056198
19,google_music,https://play.google.com/store/music/artist/Ma%C5%A1inko?id=Arma3ovr54obn3sskdnykir2bey&hl=en
19,spotify,https://open.spotify.com/artist/2iLuZ3jZFLfBOw1fDVjIL8
20,lastfm,http://www.last.fm/music/Nikki+Louder
20,facebook,https://www.facebook.com/Nikki-Louder-61342577710/
20,discogs,https://www.discogs.com/artist/1777425-Nikki-Louder
20,bandcamp,https://nikkilouder.bandcamp.com/
20,deezer,http://www.deezer.com/artist/1388442
20,google_music,https://play.google.com/store/music/artist/Nikki_Louder?id=A7bi5cik4iq7oqgbeq2p5chi2qy&hl=en
20,spotify,https://open.spotify.com/artist/6ILNFIu8cU7znKf41zLajb
21,facebook,https://www.facebook.com/Psycho-Path-9219197539/?fref=ts
21,lastfm,http://www.last.fm/music/Psycho-Path
21,discogs,https://www.discogs.com/artist/737696-Psycho-Path
21,deezer,http://www.deezer.com/artist/1283454
21,google_music,https://play.google.com/store/music/artist/Psycho_Path?id=Ad6krwwenm653kuh243mt35eary&hl=en
21,spotify,https://open.spotify.com/artist/2RUEWmUIwR8tZ12ZV6S7sj
22,lastfm,http://www.last.fm/music/Repetitor
22,bandcamp,https://repetitor.bandcamp.com/
22,twitter,https://twitter.com/repetitor_bg
22,facebook,https://www.facebook.com/repetitorbgd/
22,instagram,https://www.instagram.com/repetitor_bgd/
22,discogs,https://www.discogs.com/artist/1271681-Repetitor
22,deezer,http://www.deezer.com/artist/4184285
22,google_music,https://play.google.com/store/music/artist/Repetitor?id=Ayfnswl24to2wlrlhp5n24sbpie&hl=en
22,spotify,https://open.spotify.com/artist/4dd92BDTLc5Q1BSFkfEIfy
23,lastfm,http://www.last.fm/music/Senata+Fox
23,discogs,https://www.discogs.com/artist/1259476-Senata-Fox
23,deezer,http://www.deezer.com/artist/1279797
23,google_music,https://play.google.com/store/music/artist/Senata_Fox?id=A43mn2736wqbs23qzpnzkfrq5cm&hl=en
23,spotify,https://open.spotify.com/artist/2FmGBtUVEGQiGo95c41ZbX
24,facebook,https://www.facebook.com/wearestorms
24,lastfm,http://www.last.fm/music/Storms
24,bandcamp,https://storms.bandcamp.com/
24,discogs,https://www.discogs.com/artist/698200-Storms
24,deezer,http://www.deezer.com/artist/1053263
24,google_music,https://play.google.com/store/music/artist/Storms?id=Aykvi6pmcbcqnei23udukedlhmy&hl=en
24,spotify,https://open.spotify.com/artist/5E2bOWN72HnjQZyFnGP0t3
25,facebook,https://www.facebook.com/TRUSband/?fref=ts
25,lastfm,http://www.last.fm/music/TRUS!
25,bandcamp,https://trus-trus.bandcamp.com/
25,discogs,https://www.discogs.com/artist/3046892-Trus!
25,deezer,http://www.deezer.com/artist/4589805
25,google_music,https://play.google.com/store/music/artist/Storms?id=Aykvi6pmcbcqnei23udukedlhmy&hl=en
25,spotify,https://open.spotify.com/artist/0fumcHgBlRChRgSiHEJT9m
26,facebook,https://www.facebook.com/Vlasta.Popic.vz
26,twitter,https://twitter.com/popivz
